step,day,tod,zone,attendance,capacity,headliner,weather
8,0,0.14285714285714285,Entrance,0,1500,0,0.832
9,0,0.16071428571428573,MainStage,6,8000,0,0.832
9,0,0.16071428571428573,SecondStage,3,4000,0,0.832
9,0,0.16071428571428573,FoodCourt,522,2500,0,0.832
9,0,0.16071428571428573,Camping,1391,3000,0,0.832
9,0,0.16071428571428573,Entrance,0,1500,0,0.832
10,0,0.17857142857142858,MainStage,9,8000,0,0.832
10,0,0.17857142857142858,SecondStage,4,4000,0,0.832
10,0,0.17857142857142858,FoodCourt,508,2500,0,0.832
10,0,0.17857142857142858,Camping,1327,3000,0,0.832
10,0,0.17857142857142858,Entrance,0,1500,0,0.832
11,0,0.19642857142857142,MainStage,16,8000,0,0.832
11,0,0.19642857142857142,SecondStage,7,4000,0,0.832
11,0,0.19642857142857142,FoodCourt,545,2500,0,0.832
11,0,0.19642857142857142,Camping,1255,3000,0,0.832
11,0,0.19642857142857142,Entrance,0,1500,0,0.832
12,0,0.21428571428571427,MainStage,22,8000,0,0.832
12,0,0.21428571428571427,SecondStage,11,4000,0,0.832
12,0,0.21428571428571427,FoodCourt,539,2500,0,0.832
12,0,0.21428571428571427,Camping,1423,3000,0,0.832
12,0,0.21428571428571427,Entrance,0,1500,0,0.832
13,0,0.23214285714285715,MainStage,32,8000,0,0.832
13,0,0.23214285714285715,SecondStage,16,4000,0,0.832
13,0,0.23214285714285715,FoodCourt,515,2500,0,0.832
13,0,0.23214285714285715,Camping,1280,3000,0,0.832
13,0,0.23214285714285715,Entrance,0,1500,0,0.832
14,0,0.25,MainStage,46,8000,0,0.832
14,0,0.25,SecondStage,24,4000,0,0.832
14,0,0.25,FoodCourt,524,2500,0,0.832
14,0,0.25,Camping,1412,3000,0,0.832
14,0,0.25,Entrance,0,1500,0,0.832
15,0,0.26785714285714285,MainStage,71,8000,0,0.832
15,0,0.26785714285714285,SecondStage,34,4000,0,0.832
15,0,0.26785714285714285,FoodCourt,513,2500,0,0.832
15,0,0.26785714285714285,Camping,1393,3000,0,0.832
15,0,0.26785714285714285,Entrance,0,1500,0,0.832
16,0,0.2857142857142857,MainStage,98,8000,0,0.832
16,0,0.2857142857142857,SecondStage,46,4000,0,0.832
16,0,0.2857142857142857,FoodCourt,491,2500,0,0.832
16,0,0.2857142857142857,Camping,1391,3000,0,0.832
16,0,0.2857142857142857,Entrance,0,1500,0,0.832
17,0,0.30357142857142855,MainStage,141,8000,0,0.832
17,0,0.30357142857142855,SecondStage,68,4000,0,0.832
17,0,0.30357142857142855,FoodCourt,535,2500,0,0.832
17,0,0.30357142857142855,Camping,1397,3000,0,0.832
17,0,0.30357142857142855,Entrance,0,1500,0,0.832
18,0,0.32142857142857145,MainStage,190,8000,0,0.832
18,0,0.32142857142857145,SecondStage,91,4000,0,0.832
18,0,0.32142857142857145,FoodCourt,480,2500,0,0.832
18,0,0.32142857142857145,Camping,1247,3000,0,0.832
18,0,0.32142857142857145,Entrance,0,1500,0,0.832
19,0,0.3392857142857143,MainStage,252,8000,0,0.832
19,0,0.3392857142857143,SecondStage,128,4000,0,0.832
19,0,0.3392857142857143,FoodCourt,503,2500,0,0.832
19,0,0.3392857142857143,Camping,1308,3000,0,0.832
19,0,0.3392857142857143,Entrance,0,1500,0,0.832
20,0,0.35714285714285715,MainStage,350,8000,0,0.832
20,0,0.35714285714285715,SecondStage,174,4000,0,0.832
20,0,0.35714285714285715,FoodCourt,505,2500,0,0.832
20,0,0.35714285714285715,Camping,1307,3000,0,0.832
20,0,0.35714285714285715,Entrance,0,1500,0,0.832
21,0,0.375,MainStage,464,8000,0,0.832
21,0,0.375,SecondStage,232,4000,0,0.832
21,0,0.375,FoodCourt,488,2500,0,0.832
21,0,0.375,Camping,1332,3000,0,0.832
21,0,0.375,Entrance,0,1500,0,0.832
22,0,0.39285714285714285,MainStage,597,8000,0,0.832
22,0,0.39285714285714285,SecondStage,270,4000,0,0.832
22,0,0.39285714285714285,FoodCourt,543,2500,0,0.832
22,0,0.39285714285714285,Camping,1249,3000,0,0.832
22,0,0.39285714285714285,Entrance,0,1500,0,0.832
23,0,0.4107142857142857,MainStage,792,8000,0,0.832
23,0,0.4107142857142857,SecondStage,403,4000,0,0.832
23,0,0.4107142857142857,FoodCourt,542,2500,0,0.832
23,0,0.4107142857142857,Camping,1193,3000,0,0.832
23,0,0.4107142857142857,Entrance,0,1500,0,0.832
24,0,0.42857142857142855,MainStage,1013,8000,0,0.832
24,0,0.42857142857142855,SecondStage,505,4000,0,0.832
24,0,0.42857142857142855,FoodCourt,584,2500,0,0.832
24,0,0.42857142857142855,Camping,1248,3000,0,0.832
24,0,0.42857142857142855,Entrance,1,1500,0,0.832
25,0,0.44642857142857145,MainStage,1177,8000,0,0.832
25,0,0.44642857142857145,SecondStage,572,4000,0,0.832
25,0,0.44642857142857145,FoodCourt,548,2500,0,0.832
25,0,0.44642857142857145,Camping,1167,3000,0,0.832
25,0,0.44642857142857145,Entrance,1,1500,0,0.832
26,0,0.4642857142857143,MainStage,1588,8000,0,0.832
26,0,0.4642857142857143,SecondStage,719,4000,0,0.832
26,0,0.4642857142857143,FoodCourt,550,2500,0,0.832
26,0,0.4642857142857143,Camping,1090,3000,0,0.832
26,0,0.4642857142857143,Entrance,2,1500,0,0.832
27,0,0.48214285714285715,MainStage,1944,8000,0,0.832
27,0,0.48214285714285715,SecondStage,969,4000,0,0.832
27,0,0.48214285714285715,FoodCourt,708,2500,0,0.832
27,0,0.48214285714285715,Camping,1123,3000,0,0.832
27,0,0.48214285714285715,Entrance,3,1500,0,0.832
28,0,0.5,MainStage,1991,8000,0,0.832
28,0,0.5,SecondStage,1066,4000,0,0.832
28,0,0.5,FoodCourt,622,2500,0,0.832
28,0,0.5,Camping,1026,3000,0,0.832
28,0,0.5,Entrance,181,1500,0,0.832
29,0,0.5178571428571429,MainStage,2605,8000,0,0.832
29,0,0.5178571428571429,SecondStage,1305,4000,0,0.832
29,0,0.5178571428571429,FoodCourt,690,2500,0,0.832
29,0,0.5178571428571429,Camping,982,3000,0,0.832
29,0,0.5178571428571429,Entrance,177,1500,0,0.832
30,0,0.5357142857142857,MainStage,2788,8000,0,0.832
30,0,0.5357142857142857,SecondStage,1402,4000,0,0.832
30,0,0.5357142857142857,FoodCourt,727,2500,0,0.832
30,0,0.5357142857142857,Camping,1011,3000,0,0.832
30,0,0.5357142857142857,Entrance,188,1500,0,0.832
31,0,0.5535714285714286,MainStage,3649,8000,0,0.832
31,0,0.5535714285714286,SecondStage,1601,4000,0,0.832
31,0,0.5535714285714286,FoodCourt,734,2500,0,0.832
31,0,0.5535714285714286,Camping,823,3000,0,0.832
31,0,0.5535714285714286,Entrance,180,1500,0,0.832
32,0,0.5714285714285714,MainStage,4334,8000,0,0.832
32,0,0.5714285714285714,SecondStage,1774,4000,0,0.832
32,0,0.5714285714285714,FoodCourt,876,2500,0,0.832
32,0,0.5714285714285714,Camping,765,3000,0,0.832
32,0,0.5714285714285714,Entrance,196,1500,0,0.832
33,0,0.5892857142857143,MainStage,4432,8000,0,0.832
33,0,0.5892857142857143,SecondStage,2037,4000,0,0.832
33,0,0.5892857142857143,FoodCourt,907,2500,0,0.832
33,0,0.5892857142857143,Camping,714,3000,0,0.832
33,0,0.5892857142857143,Entrance,191,1500,0,0.832
34,0,0.6071428571428571,MainStage,4648,8000,0,0.832
34,0,0.6071428571428571,SecondStage,2108,4000,0,0.832
34,0,0.6071428571428571,FoodCourt,921,2500,0,0.832
34,0,0.6071428571428571,Camping,685,3000,0,0.832
34,0,0.6071428571428571,Entrance,202,1500,0,0.832
35,0,0.625,MainStage,5167,8000,0,0.832
35,0,0.625,SecondStage,2406,4000,0,0.832
35,0,0.625,FoodCourt,1081,2500,0,0.832
35,0,0.625,Camping,666,3000,0,0.832
35,0,0.625,Entrance,189,1500,0,0.832
36,0,0.6428571428571429,MainStage,8887,8000,1,0.832
36,0,0.6428571428571429,SecondStage,1756,4000,1,0.832
36,0,0.6428571428571429,FoodCourt,1178,2500,1,0.832
36,0,0.6428571428571429,Camping,623,3000,1,0.832
36,0,0.6428571428571429,Entrance,189,1500,1,0.832
37,0,0.6607142857142857,MainStage,8637,8000,1,0.832
37,0,0.6607142857142857,SecondStage,1622,4000,1,0.832
37,0,0.6607142857142857,FoodCourt,1347,2500,1,0.832
37,0,0.6607142857142857,Camping,588,3000,1,0.832
37,0,0.6607142857142857,Entrance,185,1500,1,0.832
38,0,0.6785714285714286,MainStage,9024,8000,1,0.832
38,0,0.6785714285714286,SecondStage,1927,4000,1,0.832
38,0,0.6785714285714286,FoodCourt,1262,2500,1,0.832
38,0,0.6785714285714286,Camping,492,3000,1,0.832
38,0,0.6785714285714286,Entrance,193,1500,1,0.832
39,0,0.6964285714285714,MainStage,9018,8000,1,0.832
39,0,0.6964285714285714,SecondStage,1824,4000,1,0.832
39,0,0.6964285714285714,FoodCourt,1414,2500,1,0.832
39,0,0.6964285714285714,Camping,510,3000,1,0.832
39,0,0.6964285714285714,Entrance,200,1500,1,0.832
40,0,0.7142857142857143,MainStage,9242,8000,1,0.832
40,0,0.7142857142857143,SecondStage,1886,4000,1,0.832
40,0,0.7142857142857143,FoodCourt,1356,2500,1,0.832
40,0,0.7142857142857143,Camping,499,3000,1,0.832
40,0,0.7142857142857143,Entrance,179,1500,1,0.832
41,0,0.7321428571428571,MainStage,8639,8000,1,0.832
41,0,0.7321428571428571,SecondStage,1724,4000,1,0.832
41,0,0.7321428571428571,FoodCourt,1561,2500,1,0.832
41,0,0.7321428571428571,Camping,535,3000,1,0.832
41,0,0.7321428571428571,Entrance,175,1500,1,0.832
42,0,0.75,MainStage,5749,8000,0,0.832
42,0,0.75,SecondStage,2645,4000,0,0.832
42,0,0.75,FoodCourt,1627,2500,0,0.832
42,0,0.75,Camping,562,3000,0,0.832
42,0,0.75,Entrance,192,1500,0,0.832
43,0,0.7678571428571429,MainStage,5868,8000,0,0.832
43,0,0.7678571428571429,SecondStage,2577,4000,0,0.832
43,0,0.7678571428571429,FoodCourt,1647,2500,0,0.832
43,0,0.7678571428571429,Camping,564,3000,0,0.832
43,0,0.7678571428571429,Entrance,189,1500,0,0.832
44,0,0.7857142857142857,MainStage,5240,8000,0,0.832
44,0,0.7857142857142857,SecondStage,2320,4000,0,0.832
44,0,0.7857142857142857,FoodCourt,1752,2500,0,0.832
44,0,0.7857142857142857,Camping,622,3000,0,0.832
44,0,0.7857142857142857,Entrance,211,1500,0,0.832
45,0,0.8035714285714286,MainStage,5287,8000,0,0.832
45,0,0.8035714285714286,SecondStage,2185,4000,0,0.832
45,0,0.8035714285714286,FoodCourt,1739,2500,0,0.832
45,0,0.8035714285714286,Camping,619,3000,0,0.832
45,0,0.8035714285714286,Entrance,182,1500,0,0.832
46,0,0.8214285714285714,MainStage,4502,8000,0,0.832
46,0,0.8214285714285714,SecondStage,2219,4000,0,0.832
46,0,0.8214285714285714,FoodCourt,1701,2500,0,0.832
46,0,0.8214285714285714,Camping,702,3000,0,0.832
46,0,0.8214285714285714,Entrance,167,1500,0,0.832
47,0,0.8392857142857143,MainStage,3972,8000,0,0.832
47,0,0.8392857142857143,SecondStage,1791,4000,0,0.832
47,0,0.8392857142857143,FoodCourt,1703,2500,0,0.832
47,0,0.8392857142857143,Camping,754,3000,0,0.832
47,0,0.8392857142857143,Entrance,186,1500,0,0.832
48,0,0.8571428571428571,MainStage,3252,8000,0,0.832
48,0,0.8571428571428571,SecondStage,1560,4000,0,0.832
48,0,0.8571428571428571,FoodCourt,1898,2500,0,0.832
48,0,0.8571428571428571,Camping,797,3000,0,0.832
48,0,0.8571428571428571,Entrance,177,1500,0,0.832
49,0,0.875,MainStage,3416,8000,0,0.832
49,0,0.875,SecondStage,1692,4000,0,0.832
49,0,0.875,FoodCourt,1568,2500,0,0.832
49,0,0.875,Camping,899,3000,0,0.832
49,0,0.875,Entrance,190,1500,0,0.832
50,0,0.8928571428571429,MainStage,2939,8000,0,0.832
50,0,0.8928571428571429,SecondStage,1214,4000,0,0.832
50,0,0.8928571428571429,FoodCourt,1582,2500,0,0.832
50,0,0.8928571428571429,Camping,1016,3000,0,0.832
50,0,0.8928571428571429,Entrance,191,1500,0,0.832
51,0,0.9107142857142857,MainStage,2262,8000,0,0.832
51,0,0.9107142857142857,SecondStage,1081,4000,0,0.832
51,0,0.9107142857142857,FoodCourt,1422,2500,0,0.832
51,0,0.9107142857142857,Camping,1024,3000,0,0.832
51,0,0.9107142857142857,Entrance,185,1500,0,0.832
52,0,0.9285714285714286,MainStage,1958,8000,0,0.832
52,0,0.9285714285714286,SecondStage,888,4000,0,0.832
52,0,0.9285714285714286,FoodCourt,1477,2500,0,0.832
52,0,0.9285714285714286,Camping,1145,3000,0,0.832
52,0,0.9285714285714286,Entrance,189,1500,0,0.832
53,0,0.9464285714285714,MainStage,1629,8000,0,0.832
53,0,0.9464285714285714,SecondStage,758,4000,0,0.832
53,0,0.9464285714285714,FoodCourt,1354,2500,0,0.832
53,0,0.9464285714285714,Camping,1098,3000,0,0.832
53,0,0.9464285714285714,Entrance,190,1500,0,0.832
54,0,0.9642857142857143,MainStage,1299,8000,0,0.832
54,0,0.9642857142857143,SecondStage,681,4000,0,0.832
54,0,0.9642857142857143,FoodCourt,1362,2500,0,0.832
54,0,0.9642857142857143,Camping,1205,3000,0,0.832
54,0,0.9642857142857143,Entrance,180,1500,0,0.832
55,0,0.9821428571428571,MainStage,990,8000,0,0.832
55,0,0.9821428571428571,SecondStage,525,4000,0,0.832
55,0,0.9821428571428571,FoodCourt,1187,2500,0,0.832
55,0,0.9821428571428571,Camping,1249,3000,0,0.832
55,0,0.9821428571428571,Entrance,171,1500,0,0.832
56,1,0.0,MainStage,0,8000,0,0.953
56,1,0.0,SecondStage,0,4000,0,0.953
56,1,0.0,FoodCourt,582,2500,0,0.953
56,1,0.0,Camping,1593,3000,0,0.953
56,1,0.0,Entrance,0,1500,0,0.953
57,1,0.017857142857142856,MainStage,0,8000,0,0.953
57,1,0.017857142857142856,SecondStage,0,4000,0,0.953
57,1,0.017857142857142856,FoodCourt,588,2500,0,0.953
57,1,0.017857142857142856,Camping,1585,3000,0,0.953
57,1,0.017857142857142856,Entrance,0,1500,0,0.953
58,1,0.03571428571428571,MainStage,0,8000,0,0.953
58,1,0.03571428571428571,SecondStage,0,4000,0,0.953
58,1,0.03571428571428571,FoodCourt,601,2500,0,0.953
58,1,0.03571428571428571,Camping,1596,3000,0,0.953
58,1,0.03571428571428571,Entrance,0,1500,0,0.953
59,1,0.05357142857142857,MainStage,0,8000,0,0.953
59,1,0.05357142857142857,SecondStage,0,4000,0,0.953
59,1,0.05357142857142857,FoodCourt,647,2500,0,0.953
59,1,0.05357142857142857,Camping,1452,3000,0,0.953
59,1,0.05357142857142857,Entrance,0,1500,0,0.953
60,1,0.07142857142857142,MainStage,1,8000,0,0.953
60,1,0.07142857142857142,SecondStage,0,4000,0,0.953
60,1,0.07142857142857142,FoodCourt,564,2500,0,0.953
60,1,0.07142857142857142,Camping,1546,3000,0,0.953
60,1,0.07142857142857142,Entrance,0,1500,0,0.953
61,1,0.08928571428571429,MainStage,1,8000,0,0.953
61,1,0.08928571428571429,SecondStage,1,4000,0,0.953
61,1,0.08928571428571429,FoodCourt,631,2500,0,0.953
61,1,0.08928571428571429,Camping,1607,3000,0,0.953
61,1,0.08928571428571429,Entrance,0,1500,0,0.953
62,1,0.10714285714285714,MainStage,2,8000,0,0.953
62,1,0.10714285714285714,SecondStage,1,4000,0,0.953
62,1,0.10714285714285714,FoodCourt,587,2500,0,0.953
62,1,0.10714285714285714,Camping,1578,3000,0,0.953
62,1,0.10714285714285714,Entrance,0,1500,0,0.953
63,1,0.125,MainStage,3,8000,0,0.953
63,1,0.125,SecondStage,1,4000,0,0.953
63,1,0.125,FoodCourt,619,2500,0,0.953
63,1,0.125,Camping,1557,3000,0,0.953
63,1,0.125,Entrance,0,1500,0,0.953
64,1,0.14285714285714285,MainStage,5,8000,0,0.953
64,1,0.14285714285714285,SecondStage,2,4000,0,0.953
64,1,0.14285714285714285,FoodCourt,617,2500,0,0.953
64,1,0.14285714285714285,Camping,1448,3000,0,0.953
64,1,0.14285714285714285,Entrance,0,1500,0,0.953
65,1,0.16071428571428573,MainStage,7,8000,0,0.953
65,1,0.16071428571428573,SecondStage,3,4000,0,0.953
65,1,0.16071428571428573,FoodCourt,641,2500,0,0.953
65,1,0.16071428571428573,Camping,1622,3000,0,0.953
65,1,0.16071428571428573,Entrance,0,1500,0,0.953
66,1,0.17857142857142858,MainStage,10,8000,0,0.953
66,1,0.17857142857142858,SecondStage,5,4000,0,0.953
66,1,0.17857142857142858,FoodCourt,560,2500,0,0.953
66,1,0.17857142857142858,Camping,1518,3000,0,0.953
66,1,0.17857142857142858,Entrance,0,1500,0,0.953
67,1,0.19642857142857142,MainStage,18,8000,0,0.953
67,1,0.19642857142857142,SecondStage,8,4000,0,0.953
67,1,0.19642857142857142,FoodCourt,528,2500,0,0.953
67,1,0.19642857142857142,Camping,1594,3000,0,0.953
67,1,0.19642857142857142,Entrance,0,1500,0,0.953
68,1,0.21428571428571427,MainStage,26,8000,0,0.953
68,1,0.21428571428571427,SecondStage,13,4000,0,0.953
68,1,0.21428571428571427,FoodCourt,535,2500,0,0.953
68,1,0.21428571428571427,Camping,1522,3000,0,0.953
68,1,0.21428571428571427,Entrance,0,1500,0,0.953
69,1,0.23214285714285715,MainStage,35,8000,0,0.953
69,1,0.23214285714285715,SecondStage,19,4000,0,0.953
69,1,0.23214285714285715,FoodCourt,607,2500,0,0.953
69,1,0.23214285714285715,Camping,1633,3000,0,0.953
69,1,0.23214285714285715,Entrance,0,1500,0,0.953
70,1,0.25,MainStage,58,8000,0,0.953
70,1,0.25,SecondStage,28,4000,0,0.953
70,1,0.25,FoodCourt,604,2500,0,0.953
70,1,0.25,Camping,1583,3000,0,0.953
70,1,0.25,Entrance,0,1500,0,0.953
71,1,0.26785714285714285,MainStage,77,8000,0,0.953
71,1,0.26785714285714285,SecondStage,38,4000,0,0.953
71,1,0.26785714285714285,FoodCourt,593,2500,0,0.953
71,1,0.26785714285714285,Camping,1591,3000,0,0.953
71,1,0.26785714285714285,Entrance,0,1500,0,0.953
72,1,0.2857142857142857,MainStage,109,8000,0,0.953
72,1,0.2857142857142857,SecondStage,54,4000,0,0.953
72,1,0.2857142857142857,FoodCourt,642,2500,0,0.953
72,1,0.2857142857142857,Camping,1498,3000,0,0.953
72,1,0.2857142857142857,Entrance,0,1500,0,0.953
73,1,0.30357142857142855,MainStage,163,8000,0,0.953
73,1,0.30357142857142855,SecondStage,79,4000,0,0.953
73,1,0.30357142857142855,FoodCourt,600,2500,0,0.953
73,1,0.30357142857142855,Camping,1652,3000,0,0.953
73,1,0.30357142857142855,Entrance,0,1500,0,0.953
74,1,0.32142857142857145,MainStage,232,8000,0,0.953
74,1,0.32142857142857145,SecondStage,108,4000,0,0.953
74,1,0.32142857142857145,FoodCourt,671,2500,0,0.953
74,1,0.32142857142857145,Camping,1524,3000,0,0.953
74,1,0.32142857142857145,Entrance,0,1500,0,0.953
75,1,0.3392857142857143,MainStage,328,8000,0,0.953
75,1,0.3392857142857143,SecondStage,140,4000,0,0.953
75,1,0.3392857142857143,FoodCourt,607,2500,0,0.953
75,1,0.3392857142857143,Camping,1628,3000,0,0.953
75,1,0.3392857142857143,Entrance,0,1500,0,0.953
76,1,0.35714285714285715,MainStage,383,8000,0,0.953
76,1,0.35714285714285715,SecondStage,177,4000,0,0.953
76,1,0.35714285714285715,FoodCourt,583,2500,0,0.953
76,1,0.35714285714285715,Camping,1546,3000,0,0.953
76,1,0.35714285714285715,Entrance,0,1500,0,0.953
77,1,0.375,MainStage,548,8000,0,0.953
77,1,0.375,SecondStage,237,4000,0,0.953
77,1,0.375,FoodCourt,542,2500,0,0.953
77,1,0.375,Camping,1498,3000,0,0.953
77,1,0.375,Entrance,0,1500,0,0.953
78,1,0.39285714285714285,MainStage,721,8000,0,0.953
78,1,0.39285714285714285,SecondStage,345,4000,0,0.953
78,1,0.39285714285714285,FoodCourt,624,2500,0,0.953
78,1,0.39285714285714285,Camping,1526,3000,0,0.953
78,1,0.39285714285714285,Entrance,0,1500,0,0.953
79,1,0.4107142857142857,MainStage,930,8000,0,0.953
79,1,0.4107142857142857,SecondStage,413,4000,0,0.953
79,1,0.4107142857142857,FoodCourt,624,2500,0,0.953
79,1,0.4107142857142857,Camping,1455,3000,0,0.953
79,1,0.4107142857142857,Entrance,1,1500,0,0.953
80,1,0.42857142857142855,MainStage,1126,8000,0,0.953
80,1,0.42857142857142855,SecondStage,556,4000,0,0.953
80,1,0.42857142857142855,FoodCourt,634,2500,0,0.953
80,1,0.42857142857142855,Camping,1397,3000,0,0.953
80,1,0.42857142857142855,Entrance,1,1500,0,0.953
81,1,0.44642857142857145,MainStage,1291,8000,0,0.953
81,1,0.44642857142857145,SecondStage,633,4000,0,0.953
81,1,0.44642857142857145,FoodCourt,610,2500,0,0.953
81,1,0.44642857142857145,Camping,1204,3000,0,0.953
81,1,0.44642857142857145,Entrance,1,1500,0,0.953
82,1,0.4642857142857143,MainStage,1830,8000,0,0.953
82,1,0.4642857142857143,SecondStage,821,4000,0,0.953
82,1,0.4642857142857143,FoodCourt,687,2500,0,0.953
82,1,0.4642857142857143,Camping,1387,3000,0,0.953
82,1,0.4642857142857143,Entrance,2,1500,0,0.953
83,1,0.48214285714285715,MainStage,2130,8000,0,0.953
83,1,0.48214285714285715,SecondStage,1078,4000,0,0.953
83,1,0.48214285714285715,FoodCourt,712,2500,0,0.953
83,1,0.48214285714285715,Camping,1208,3000,0,0.953
83,1,0.48214285714285715,Entrance,3,1500,0,0.953
84,1,0.5,MainStage,2365,8000,0,0.953
84,1,0.5,SecondStage,1152,4000,0,0.953
84,1,0.5,FoodCourt,729,2500,0,0.953
84,1,0.5,Camping,1248,3000,0,0.953
84,1,0.5,Entrance,233,1500,0,0.953
85,1,0.5178571428571429,MainStage,2798,8000,0,0.953
85,1,0.5178571428571429,SecondStage,1447,4000,0,0.953
85,1,0.5178571428571429,FoodCourt,744,2500,0,0.953
85,1,0.5178571428571429,Camping,1161,3000,0,0.953
85,1,0.5178571428571429,Entrance,213,1500,0,0.953
86,1,0.5357142857142857,MainStage,3168,8000,0,0.953
86,1,0.5357142857142857,SecondStage,1723,4000,0,0.953
86,1,0.5357142857142857,FoodCourt,810,2500,0,0.953
86,1,0.5357142857142857,Camping,1036,3000,0,0.953
86,1,0.5357142857142857,Entrance,203,1500,0,0.953
87,1,0.5535714285714286,MainStage,3855,8000,0,0.953
87,1,0.5535714285714286,SecondStage,1922,4000,0,0.953
87,1,0.5535714285714286,FoodCourt,886,2500,0,0.953
87,1,0.5535714285714286,Camping,1008,3000,0,0.953
87,1,0.5535714285714286,Entrance,218,1500,0,0.953
88,1,0.5714285714285714,MainStage,4786,8000,0,0.953
88,1,0.5714285714285714,SecondStage,2084,4000,0,0.953
88,1,0.5714285714285714,FoodCourt,892,2500,0,0.953
88,1,0.5714285714285714,Camping,967,3000,0,0.953
88,1,0.5714285714285714,Entrance,211,1500,0,0.953
89,1,0.5892857142857143,MainStage,5261,8000,0,0.953
89,1,0.5892857142857143,SecondStage,2398,4000,0,0.953
89,1,0.5892857142857143,FoodCourt,1034,2500,0,0.953
89,1,0.5892857142857143,Camping,861,3000,0,0.953
89,1,0.5892857142857143,Entrance,235,1500,0,0.953
90,1,0.6071428571428571,MainStage,6016,8000,0,0.953
90,1,0.6071428571428571,SecondStage,2583,4000,0,0.953
90,1,0.6071428571428571,FoodCourt,1137,2500,0,0.953
90,1,0.6071428571428571,Camping,820,3000,0,0.953
90,1,0.6071428571428571,Entrance,205,1500,0,0.953
91,1,0.625,MainStage,5972,8000,0,0.953
91,1,0.625,SecondStage,2770,4000,0,0.953
91,1,0.625,FoodCourt,1241,2500,0,0.953
91,1,0.625,Camping,686,3000,0,0.953
91,1,0.625,Entrance,197,1500,0,0.953
92,1,0.6428571428571429,MainStage,5592,8000,0,0.953
92,1,0.6428571428571429,SecondStage,2782,4000,0,0.953
92,1,0.6428571428571429,FoodCourt,1292,2500,0,0.953
92,1,0.6428571428571429,Camping,653,3000,0,0.953
92,1,0.6428571428571429,Entrance,235,1500,0,0.953
93,1,0.6607142857142857,MainStage,6891,8000,0,0.953
93,1,0.6607142857142857,SecondStage,2935,4000,0,0.953
93,1,0.6607142857142857,FoodCourt,1451,2500,0,0.953
93,1,0.6607142857142857,Camping,608,3000,0,0.953
93,1,0.6607142857142857,Entrance,211,1500,0,0.953
94,1,0.6785714285714286,MainStage,6797,8000,0,0.953
94,1,0.6785714285714286,SecondStage,3279,4000,0,0.953
94,1,0.6785714285714286,FoodCourt,1505,2500,0,0.953
94,1,0.6785714285714286,Camping,622,3000,0,0.953
94,1,0.6785714285714286,Entrance,202,1500,0,0.953
95,1,0.6964285714285714,MainStage,6846,8000,0,0.953
95,1,0.6964285714285714,SecondStage,3652,4000,0,0.953
95,1,0.6964285714285714,FoodCourt,1652,2500,0,0.953
95,1,0.6964285714285714,Camping,616,3000,0,0.953
95,1,0.6964285714285714,Entrance,215,1500,0,0.953
